country,admin1,population,events,score
Lesotho,Mafeteng,31576,12,1
Lesotho,Maseru,177359,199,2
Lesotho,Mokhotlong,6483,8,1
Lesotho,Qacha's Nek,1498,1,1
Lesotho,Quthing,19150,4,1
Lesotho,Thaba-Tseka,123,2,1
Liberia,Bomi,24760,47,1
Liberia,Bong,62570,100,2
Liberia,Gbarpolu,13803,47,1
Liberia,Grand Bassa,54677,88,2
Liberia,Grand Cape Mount,48098,45,1
Liberia,Grand Gedeh,11159,41,1
Liberia,Grand Kru,6425,13,1
Liberia,Lofa,76493,290,3
Liberia,Margibi,65529,61,2
Liberia,Maryland,63991,38,1
Liberia,Montserrado,1079476,799,3
Liberia,Nimba,,156,2
Liberia,River Gee,5668,18,1
Liberia,Rivercess,14683,18,1
Liberia,Sinoe,31215,27,1
Libya,East,1044300,3964,3
Libya,West,,7549,3
Libya,South,256483,1101,3
Madagascar,Alaotra Mangoro,126449,102,2
Madagascar,Vakinankaratra,324920,189,2
Madagascar,Amoron I Mania,52808,83,2
Madagascar,Analamanga,2259371,1361,3
Madagascar,Analanjirofo,86027,39,1
Madagascar,Androy,82215,111,2
Madagascar,Betsiboka,73306,165,2
Madagascar,Anosy,78794,211,3
Madagascar,Atsimo Andrefana,180267,232,3
Madagascar,Menabe,238624,205,3
Madagascar,Atsimo Atsinanana,238438,157,2
Madagascar,Atsinanana,53869,164,2
Madagascar,Boeny,,208,3
Madagascar,Bongolava,74344,114,2
Madagascar,Diana,39593,64,2
Madagascar,Haute Matsiatra,134071,128,2
Madagascar,Ihorombe,43601,56,2
Madagascar,Itasy,168167,111,2
Madagascar,Melaky,,133,2
Madagascar,Sava,44869,46,1
Madagascar,Sofia,134911,133,2
Madagascar,Vatovavy Fitovinany,74514,50,2
Malawi,Central,1039564,651,3
Malawi,Northern,274353,283,3
Malawi,Southern,953461,719,3
Mali,Koulikoro,1350249,531,3
Mali,Bamako,64964,502,3
Mali,Gao,,2171,3
Mali,Menaka,37479,775,3
Mali,Kayes,515996,346,3
Mali,Kidal,,1083,3
Mali,Mopti,1348268,4183,3
Mali,Segou,1034695,1608,3
Mali,Tombouctou,,1439,3
Mali,Sikasso,735027,399,3
Mauritania,Adrar,20930,30,1
Mauritania,Assaba,25567,66,2
Mauritania,Brakna,43612,44,1
Mauritania,Dakhlet Nouadhibou,33017,306,3
Mauritania,Gorgol,30524,28,1
Mauritania,Guidimakha,49762,14,1
Mauritania,Hodh Ech Chargi,49895,83,2
Mauritania,Hodh El Gharbi,18732,20,1
Mauritania,Inchiri,71,16,1
Mauritania,Nouakchott,150030,1435,3
Mauritania,Tagant,3661,10,1
Mauritania,Tiris Zemmour,14725,125,2
Mauritania,Trarza,21133,83,2
Morocco,Beni Mellal-Khenifra,1079887,1362,3
Morocco,Draa-Tafilalet,536831,518,3
Morocco,Casablanca-Settat,2519935,2340,3
Morocco,Eddakhla-Oued Eddahab,83281,150,2
Morocco,Fes-Meknes,,1307,3
Morocco,Guelmim-Oued Noun,142599,180,2
Morocco,Laayoune-Sakia El Hamra,41045,366,3
Morocco,Marrakech-Safi,1133663,1314,3
Morocco,Oriental,851075,1931,3
Morocco,Rabat-Sale-Kenitra,1973776,2413,3
Morocco,Souss-Massa,1067702,1268,3
Morocco,Tanger-Tetouan-Al Hoceima,1795333,1968,3
Mozambique,Cabo Delgado,779548,2878,3
Mozambique,Gaza,176468,111,2
Mozambique,Inhambane,69561,82,2
Mozambique,Manica,291427,141,2
Mozambique,Maputo,346215,252,3
Mozambique,Maputo City,112002,325,3
Mozambique,Nampula,426060,301,3
Mozambique,Niassa,170898,84,2
Mozambique,Sofala,325929,360,3
Mozambique,Tete,379403,145,2
Mozambique,Zambezia,281574,206,3
Namibia,Erongo,168443,151,2
Namibia,Hardap,27433,28,1
Namibia,Karas,45668,98,2
Namibia,Kavango East,35642,111,2
Namibia,Kavango West,14700,48,1
Namibia,Khomas,335379,423,3
Namibia,Kunene,8265,16,1
Namibia,Ohangwena,38062,37,1
Namibia,Omaheke,5939,24,1
Namibia,Omusati,20540,43,1
Namibia,Oshana,21873,80,2
Namibia,Oshikoto,28582,28,1
Namibia,Otjozondjupa,22062,70,2
Namibia,Zambezi,33965,71,2
Niger,Agadez,198327,434,3
Niger,Diffa,,1210,3
Niger,Dosso,338534,167,2
Niger,Maradi,718071,421,3
Niger,Niamey,57321,319,3
Niger,Tahoua,,348,3
Niger,Tillaberi,,1982,3
Niger,Zinder,164369,68,2
Nigeria,Abia,1680750,554,3
Nigeria,Adamawa,1340779,737,3
Nigeria,Borno,3059579,6115,3
Nigeria,Akwa Ibom,1996317,505,3
Nigeria,Anambra,3054119,1261,3
Nigeria,Bauchi,941931,433,3
Nigeria,Bayelsa,1461365,886,3
Nigeria,Benue,1642196,1527,3
Nigeria,Cross River,1376118,621,3
Nigeria,Delta,3400314,1902,3
Nigeria,Ebonyi,1216016,515,3
Nigeria,Edo,2162897,1098,3
Nigeria,Ekiti,1871260,423,3
Nigeria,Enugu,2142570,784,3
Nigeria,Federal Capital Territory,2602982,2089,3
Nigeria,Gombe,541942,183,2
Nigeria,Yobe,495351,700,3
Nigeria,Imo,2736712,988,3
Nigeria,Jigawa,843671,185,2
Nigeria,Kaduna,3093367,2535,3
Nigeria,Katsina,2447603,1764,3
Nigeria,Kano,3484813,554,3
Nigeria,Oyo,3211535,842,3
Nigeria,Zamfara,1592890,2006,3
Nigeria,Kebbi,789450,205,3
Nigeria,Sokoto,1606594,751,3
Nigeria,Kogi,1502352,662,3
Nigeria,Kwara,1050375,515,3
Nigeria,Lagos,,2285,3
Nigeria,Nassarawa,677456,601,3
Nigeria,Niger,1185200,1184,3
Nigeria,Ogun,3074181,918,3
Nigeria,Ondo,1755790,814,3
Nigeria,Osun,1924176,812,3
Nigeria,Plateau,1314564,1571,3
Nigeria,Rivers,,1615,3
Nigeria,Taraba,705628,795,3
Republic of Congo,Bouenza,67887,33,1
Republic of Congo,Brazzaville,1013125,334,3
Republic of Congo,Cuvette,21135,10,1
Republic of Congo,Kouilou,14254,7,1
Republic of Congo,Lekoumou,52461,7,1
Republic of Congo,Likouala,33125,6,1
Republic of Congo,Niari,58614,37,1
Republic of Congo,Plateaux,9115,16,1
Republic of Congo,Pointe-Noire,146302,34,1
Republic of Congo,Pool,1908,60,2
Republic of Congo,Sangha,40544,4,1
Rwanda,East,400068,57,2
Rwanda,Kigali City,969024,214,3
Rwanda,North,518602,156,2
Rwanda,South,755729,144,2
Rwanda,West,840758,275,3
Senegal,Dakar,3327230,763,3
Senegal,Diourbel,451696,68,2
Senegal,Fatick,71542,24,1
Senegal,Kaffrine,26169,16,1
Senegal,Kaolack,128037,54,2
Senegal,Kedougou,29018,35,1
Senegal,Kolda,208317,102,2
Senegal,Louga,162391,53,2
Senegal,Matam,85540,37,1
Senegal,Saint Louis,186333,109,2
Senegal,Sedhiou,161747,209,3
Senegal,Tambacounda,87624,45,1
Senegal,Thies,629866,186,2
Senegal,Ziguinchor,385153,466,3
Sierra Leone,Eastern,684579,1269,3
Sierra Leone,Southern,689378,718,3
Sierra Leone,Northwestern,511753,1112,3
Sierra Leone,Northern,477749,1209,3
Sierra Leone,Western,,684,3
Somalia,Awdal,278870,271,3
Somalia,Bakool,228622,1624,3
Somalia,Banadir,1889019,12643,3
Somalia,Bari,,2184,3
Somalia,Bay,495536,4105,3
Somalia,Galgaduud,155833,2090,3
Somalia,Hiraan,,3536,3
Somalia,Lower Juba,487419,4647,3
Somalia,Lower Shabelle,843306,9478,3
Somalia,Middle Juba,164898,601,3
Somalia,Middle Shabelle,352226,3017,3
Somalia,Mudug,,1944,3
Somalia,Nugaal,70045,530,3
Somalia,Sanaag,,663,3
Somalia,Sool,85535,888,3
Somalia,Togdheer,121460,698,3
Somalia,Woqooyi Galbeed,442890,680,3
South Africa,Eastern Cape,2178732,3344,3
South Africa,Free State,886458,526,3
South Africa,Gauteng,8425785,6646,3
South Africa,KwaZulu-Natal,3284910,4439,3
South Africa,Limpopo,1311204,1385,3
South Africa,Mpumalanga,1465672,1012,3
South Africa,Northern Cape,386497,521,3
South Africa,North West,1331835,978,3
South Africa,Western Cape,4482711,4918,3
South Sudan,Central Equatoria,583954,2936,3
South Sudan,Eastern Equatoria,1684518,1258,3
South Sudan,Jonglei,477363,2953,3
South Sudan,Lakes,,1816,3
South Sudan,Northern Bahr el Ghazal,73605,269,3
South Sudan,Unity,277009,1722,3
South Sudan,Upper Nile,348188,1673,3
South Sudan,Warrap,168348,1606,3
South Sudan,Western Bahr el Ghazal,72839,683,3
South Sudan,Western Equatoria,230083,1055,3
Sudan,Abyei,,588,3
Sudan,Bahr el Ghazal,52149,351,3
Sudan,South Darfur,999490,3129,3
Sudan,Blue Nile,364093,723,3
Sudan,Central Darfur,108478,2097,3
Sudan,West Darfur,292402,1542,3
Sudan,East Darfur,372699,609,3
Sudan,Al Jazirah,1071835,1695,3
Sudan,Equatoria,288345,814,3
Sudan,Gedaref,374466,617,3
Sudan,Kassala,338594,588,3
Sudan,Khartoum,,9478,3
Sudan,North Kordofan,196997,1109,3
Sudan,North Darfur,1031956,5397,3
Sudan,Northern,195901,447,3
Sudan,Red Sea,460341,713,3
Sudan,River Nile,234782,492,3
Sudan,Sennar,213327,554,3
Sudan,South Kordofan,207270,2012,3
Sudan,West Kordofan,154858,1021,3
Sudan,Upper Nile,153278,487,3
Sudan,White Nile,614056,514,3
Tanzania,Arusha,,112,2
Tanzania,Dar es Salaam,3138668,274,3
Tanzania,Dodoma,115516,37,1
Tanzania,Geita,177344,36,1
Tanzania,Iringa,188203,22,1
Tanzania,Kagera,343679,35,1
Tanzania,Kaskazini Pemba,149219,37,1
Tanzania,Kaskazini Unguja,157645,17,1
Tanzania,Katavi,17909,8,1
Tanzania,Kigoma,357914,145,2
Tanzania,Kilimanjaro,144829,25,1
Tanzania,Kusini Pemba,108118,19,1
Tanzania,Kusini Unguja,48409,50,2
Tanzania,Lindi,39652,11,1
Tanzania,Manyara,47704,15,1
Tanzania,Mara,178031,69,2
Tanzania,Mbeya,351155,36,1
Tanzania,Mjini Magharibi,666768,66,2
Tanzania,Morogoro,391586,38,1
Tanzania,Mtwara,142792,39,1
Tanzania,Mwanza,115114,50,2
Tanzania,Njombe,8365,13,1
Tanzania,Pwani,87280,45,1
Tanzania,Rukwa,54766,15,1
Tanzania,Ruvuma,112621,20,1
Tanzania,Shinyanga,109113,17,1
Tanzania,Simiyu,54343,5,1
Tanzania,Singida,56535,13,1
Tanzania,Songwe,112714,16,1
Tanzania,Tabora,84931,11,1
Tanzania,Tanga,109816,22,1
Togo,Centrale,113771,34,1
Togo,Kara,191381,39,1
Togo,Maritime,1730945,393,3
Togo,Plateaux,236852,32,1
Togo,Savanes,211661,112,2
Tunisia,Ariana,642609,129,2
Tunisia,Beja,188028,303,3
Tunisia,Ben Arous,581809,77,2
Tunisia,Bizerte,334342,375,3
Tunisia,Gabes,193313,294,3
Tunisia,Gafsa,211659,867,3
Tunisia,Jendouba,195225,399,3
Tunisia,Kairouan,236778,724,3
Tunisia,Siliana,136902,253,3
Tunisia,Kasserine,308864,981,3
Tunisia,Kebili,82256,361,3
Tunisia,Kef,126630,313,3
Tunisia,Mahdia,285415,227,3
Tunisia,Manubah,468065,271,3
Tunisia,Medenine,224158,519,3
Tunisia,Monastir,513774,206,3
Tunisia,Nabeul,713638,376,3
Tunisia,Sfax,,718,3
Tunisia,Sidi Bouzid,275054,803,3
Tunisia,Sousse,669172,440,3
Tunisia,Tataouine,63306,399,3
Tunisia,Tozeur,56730,230,3
Tunisia,Tunis,,2270,3
Tunisia,Zaghouan,93787,62,2
Uganda,Abim,49279,41,1
Uganda,Adjumani,48382,130,2
Uganda,Agago,85747,292,3
Uganda,Alebtong,42027,35,1
Uganda,Amolatar,30663,16,1
Uganda,Amuria,82031,79,2
Uganda,Kapelebyong,30719,55,2
Uganda,Amuru,101776,206,3
Uganda,Apac,57997,49,1
Uganda,Arua,377609,148,2
Uganda,Madi Okollo,37273,12,1
Uganda,Budaka,54532,13,1
Uganda,Manafwa,122699,18,1
Uganda,Bududa,123643,40,1
Uganda,Bugiri,113589,27,1
Uganda,Namayingo,,10,1
Uganda,Buhweju,24308,5,1
Uganda,Buikwe,251698,47,1
Uganda,Bukedea,93357,20,1
Uganda,Bukomansimbi,73234,20,1
Uganda,Bukwo,64187,35,1
Uganda,Bulambuli,129435,24,1
Uganda,Buliisa,70696,19,1
Uganda,Masindi,63018,44,1
Uganda,Bundibugyo,139829,170,2
Uganda,Rukiga,103662,18,1
Uganda,Bushenyi,95097,37,1
Uganda,Busia,208355,70,2
Uganda,Butaleja,50142,26,1
Uganda,Butambala,13251,10,1
Uganda,Buvuma,38029,4,1
Uganda,Buyende,67250,16,1
Uganda,Dokolo,56911,18,1
Uganda,Gomba,40712,12,1
Uganda,Gulu,159884,476,3
Uganda,Hoima,155343,140,2
Uganda,Kikuube,66639,62,2
Uganda,Ibanda,42148,21,1
Uganda,Bugweri,53686,13,1
Uganda,Iganga,132197,43,1
Uganda,Isingiro,141332,29,1
Uganda,Jinja,308352,190,2
Uganda,Kaabong,28300,110,2
Uganda,Karenga,7386,26,1
Uganda,Kabale,84847,133,2
Uganda,Kabarole,190991,108,2
Uganda,Kaberamaido,24652,13,1
Uganda,Kalaki,31559,19,1
